credit_score,monthly_income,employment_type,loan_purpose,approved_amount,interest_rate,tenure_months,emi,income_multiplier
776,32469,salaried,medical,260000,9.72,48,6553.2,8
530,20140,salaried,medical,40000,17.1,12,3675.79,2
623,47544,self_employed,education,202000,14.31,12,18172.39,5
685,25827,salaried,home,129000,12.45,48,3429.27,5
641,12306,business,business,55000,13.77,60,1281.97,5
700,68172,salaried,business,341000,12.0,36,11321.57,5
647,20878,salaried,medical,104000,13.59,12,9352.82,5
784,32818,salaried,education,263000,9.5,48,6595.95,8
728,24929,salaried,home,125000,11.16,36,4090.2,5
615,23622,salaried,personal,118000,14.55,60,2782.11,5
764,31538,business,vehicle,227000,10.08,48,5768.08,8
712,36534,salaried,business,183000,11.64,60,4030.32,5
701,53616,business,personal,241000,11.97,48,6350.09,5
790,38383,salaried,personal,307000,9.5,36,9836.25,8
683,34007,salaried,personal,170000,12.51,36,5689.13,5
653,28685,business,business,129000,13.41,12,11554.14,5
645,21097,salaried,vehicle,105000,13.65,36,3587.43,5
702,48337,self_employed,personal,205000,11.94,36,6817.41,5
573,38240,business,home,69000,15.81,48,1944.06,2
693,65217,business,home,293000,12.21,48,7758.73,5
713,56098,salaried,medical,280000,11.61,12,24870.44,5
649,13810,business,vehicle,62000,13.53,36,2109.96,5
655,35117,salaried,medical,176000,13.35,48,4741.18,5
821,32097,salaried,education,257000,9.5,12,22515.12,8
639,33617,business,education,151000,13.83,60,3506.67,5
833,37956,salaried,personal,304000,9.5,24,13941.99,8
819,46634,business,vehicle,336000,9.5,60,7051.82,8
645,27725,salaried,business,139000,13.65,60,3200.53,5
599,32706,salaried,personal,65000,15.03,48,1821.49,2
807,30922,salaried,medical,247000,9.5,12,21691.05,8
631,47113,self_employed,medical,200000,14.07,36,6850.33,5
722,15873,salaried,vehicle,79000,11.34,48,2064.36,5
614,19225,salaried,education,96000,14.58,48,2654.9,5
628,30191,salaried,education,151000,14.16,60,3525.02,5
782,36150,salaried,education,289000,9.54,48,7271.21,8
725,22909,business,personal,103000,11.25,24,4816.94,5
900,26970,salaried,home,216000,9.5,48,5420.68,8
582,54097,salaried,personal,108000,15.54,60,2604.73,2
765,58341,self_employed,business,397000,10.05,12,34887.66,8
668,43692,salaried,home,218000,12.96,48,5856.42,5
655,68343,self_employed,medical,290000,13.35,60,6661.05,5
772,56364,salaried,vehicle,451000,9.84,60,9545.24,8
595,19124,salaried,medical,38000,15.15,12,3454.99,2
641,20620,salaried,education,103000,13.77,36,3512.34,5
784,20082,salaried,vehicle,161000,9.5,60,3374.17,8
739,23056,salaried,personal,115000,10.83,48,2970.03,5
695,26718,salaried,education,134000,12.15,36,4446.71,5
662,14562,business,home,66000,13.14,12,5857.2,5
384,56372,salaried,medical,113000,21.48,36,4275.53,2
788,41116,salaried,education,329000,9.5,24,15102.61,8
677,58126,business,education,262000,12.69,60,5910.06,5
603,43958,business,business,198000,14.91,24,9582.86,5
594,14759,salaried,home,30000,15.18,48,824.26,2
591,64338,salaried,medical,129000,15.27,48,3598.81,2
776,41261,student,vehicle,165000,9.72,12,14488.79,8
606,11904,salaried,business,60000,14.82,60,1410.45,5
720,42524,self_employed,personal,181000,11.4,48,4706.28,5
630,28505,salaried,business,143000,14.1,36,4878.13,5
797,37964,salaried,education,304000,9.5,24,13945.12,8
900,55386,salaried,education,443000,9.5,12,38852.21,8
627,21485,self_employed,business,91000,14.19,36,3129.37,5
631,37285,salaried,vehicle,186000,14.07,60,4344.65,5
725,19656,salaried,vehicle,98000,11.25,12,8697.85,5
820,84455,self_employed,home,574000,9.5,48,14428.2,8
646,21767,self_employed,business,93000,13.62,60,2134.39,5
900,28792,salaried,vehicle,230000,9.5,12,20197.23,8
536,32975,self_employed,medical,56000,16.92,60,1390.79,2
765,51778,salaried,medical,414000,10.05,48,10515.8,8
712,31290,self_employed,vehicle,133000,11.64,60,2934.05,5
843,19797,salaried,business,158000,9.5,24,7271.85,8
715,24861,salaried,vehicle,124000,11.55,60,2736.96,5
609,30908,self_employed,business,131000,14.73,12,11839.52,5
664,42467,salaried,personal,212000,13.08,24,10102.85,5
702,28666,salaried,vehicle,143000,11.94,60,3184.04,5
660,18734,salaried,home,94000,13.2,12,8375.42,5
571,53725,business,home,97000,15.87,24,4729.05,2
666,33681,self_employed,home,143000,13.02,36,4824.57,5
639,42163,self_employed,education,179000,13.83,60,4153.74,5
683,31711,salaried,home,159000,12.51,24,7501.66,5
800,47166,self_employed,personal,321000,9.5,60,6735.95,8
742,30872,salaried,business,154000,10.74,12,13623.91,5
565,35029,salaried,education,70000,16.05,12,6358.1,2
690,21820,self_employed,home,93000,12.3,36,3093.56,5
598,17961,salaried,medical,36000,15.06,12,3243.42,2
582,41901,self_employed,education,71000,15.54,24,3472.13,2
591,41584,self_employed,home,71000,15.27,12,6389.64,2
665,31524,self_employed,home,134000,13.05,12,11969.67,5
800,25548,salaried,medical,204000,9.5,24,9384.47,8
600,26702,self_employed,medical,45000,15.0,48,1263.34,2
622,33515,self_employed,medical,142000,14.34,48,3916.74,5
808,18217,salaried,vehicle,146000,9.5,24,6691.74,8
573,28856,self_employed,personal,49000,15.81,48,1385.49,2
821,42230,self_employed,home,287000,9.5,48,7214.59,8
695,52500,business,education,236000,12.15,48,6238.87,5
789,22361,salaried,home,179000,9.5,12,15685.98,8
747,67033,salaried,medical,335000,10.59,12,29558.58,5
618,35631,self_employed,education,151000,14.46,24,7303.67,5
654,50373,salaried,home,252000,13.38,36,8532.6,5
582,57864,salaried,business,116000,15.54,12,10474.97,2
774,22136,salaried,medical,177000,9.78,36,5695.9,8
630,21233,salaried,personal,106000,14.1,60,2475.89,5
741,39298,salaried,education,196000,10.77,60,4249.76,5
531,163296,salaried,personal,327000,17.07,12,29797.61,2
602,56690,salaried,home,283000,14.94,24,13735.64,5
533,44223,salaried,business,88000,17.01,24,4373.46,2
658,37031,salaried,home,185000,13.26,24,8825.4,5
734,34663,salaried,personal,173000,10.98,48,4477.77,5
647,47160,self_employed,personal,200000,13.59,48,5436.02,5
702,67513,business,personal,304000,11.94,48,7991.56,5
569,35782,salaried,vehicle,72000,15.93,24,3501.68,2
633,46823,salaried,vehicle,234000,14.01,12,21021.64,5
645,58784,self_employed,medical,250000,13.65,24,11953.95,5
726,37807,business,vehicle,170000,11.22,36,5587.78,5
601,57024,student,business,143000,14.97,12,12865.33,5
651,38762,business,vehicle,174000,13.47,48,4720.35,5
644,23807,salaried,education,119000,13.68,24,5697.47,5
670,47374,self_employed,vehicle,201000,12.9,36,6774.25,5
823,22126,salaried,education,177000,9.5,36,5670.31,8
578,25087,student,business,25000,15.66,12,2272.17,2
661,33990,salaried,vehicle,170000,13.17,36,5740.26,5
737,24511,business,vehicle,110000,10.89,36,3605.39,5
815,29201,self_employed,education,199000,9.5,60,4170.38,8
727,51963,business,personal,234000,11.19,12,20687.4,5
598,27504,student,home,28000,15.06,60,655.19,2
643,26319,salaried,education,132000,13.71,60,3042.32,5
730,49916,salaried,medical,250000,11.1,48,6462.69,5
567,15297,salaried,vehicle,31000,15.99,48,866.89,2
819,43620,salaried,personal,349000,9.5,24,16022.52,8
690,92224,salaried,vehicle,461000,12.3,48,12211.18,5
854,33339,salaried,business,267000,9.5,36,8543.78,8
726,24167,self_employed,personal,103000,11.22,12,9088.54,5
811,28612,business,home,206000,9.5,48,5175.64,8
749,45875,salaried,education,229000,10.53,48,5876.19,5
598,42829,business,vehicle,77000,15.06,24,3740.18,2
557,25639,salaried,medical,51000,16.29,60,1254.9,2
624,45837,self_employed,education,195000,14.28,36,6684.61,5
686,26791,salaried,medical,134000,12.42,48,3555.24,5
673,26908,salaried,medical,135000,12.81,60,3048.17,5
821,25322,business,medical,182000,9.5,12,15986.66,8
666,38230,self_employed,home,162000,13.02,36,5476.11,5
673,13667,salaried,business,68000,12.81,36,2296.23,5
724,26589,business,education,120000,11.28,12,10590.64,5
591,25738,salaried,business,51000,15.27,48,1439.72,2
616,78044,salaried,business,390000,14.52,24,18831.73,5
590,54241,self_employed,home,92000,15.3,60,2208.25,2
599,25201,student,business,25000,15.03,60,599.95,2
582,28607,salaried,personal,57000,15.54,60,1377.42,2
540,29138,salaried,personal,58000,16.8,24,2875.72,2
634,35666,salaried,education,178000,13.98,12,16010.08,5
804,49884,salaried,medical,399000,9.5,48,10025.97,8
668,31231,business,medical,141000,12.96,60,3194.92,5
635,50202,salaried,medical,251000,13.95,24,12045.95,5
719,16107,student,personal,40000,11.43,36,1326.6,5
711,16428,business,home,74000,11.67,60,1632.22,5
586,61145,salaried,personal,122000,15.42,60,2936.35,2
750,33598,business,home,151000,10.5,12,13327.45,5
645,87894,salaried,education,439000,13.65,48,11932.18,5
744,50542,salaried,business,253000,10.68,24,11740.86,5
781,19206,salaried,home,154000,9.57,12,13477.69,8
834,25733,salaried,education,206000,9.5,12,18051.31,8
677,31138,salaried,personal,156000,12.69,36,5222.61,5
621,18000,salaried,personal,90000,14.37,36,3092.24,5
870,26823,self_employed,personal,182000,9.5,24,8374.76,8
752,14550,salaried,personal,116000,10.44,48,2976.95,8
635,44655,salaried,medical,223000,13.95,12,20041.99,5
709,66102,salaried,home,331000,11.73,24,15516.7,5
733,18998,self_employed,personal,81000,11.01,12,7136.75,5
676,48595,business,home,219000,12.72,60,4944.32,5
576,21744,self_employed,home,37000,15.72,12,3349.06,2
814,24164,self_employed,vehicle,164000,9.5,24,7544.51,8
844,97668,business,education,703000,9.5,12,61659.9,8
669,25331,business,education,114000,12.93,48,3054.1,5
546,15600,salaried,home,31000,16.62,60,769.07,2
527,26080,salaried,personal,52000,17.19,36,1864.63,2
637,101451,salaried,home,507000,13.89,48,13833.53,5
698,70600,salaried,education,353000,12.06,48,9306.3,5
706,32285,salaried,education,161000,11.82,24,7585.41,5
650,39985,salaried,medical,200000,13.5,12,17904.0,5
900,69458,student,personal,278000,9.5,48,6980.08,8
820,69474,salaried,education,556000,9.5,48,13963.39,8
646,50382,salaried,home,252000,13.62,24,12049.85,5
787,22476,student,vehicle,90000,9.5,60,1888.2,8
818,29997,salaried,personal,240000,9.5,12,21042.4,8
589,44150,self_employed,business,75000,15.33,36,2613.95,2
661,36546,salaried,vehicle,183000,13.17,48,4917.74,5
778,25035,salaried,education,200000,9.66,12,17576.57,8
685,28486,self_employed,medical,121000,12.45,12,10782.09,5
764,30091,salaried,personal,241000,10.08,12,21173.2,8
573,34602,salaried,education,69000,15.81,12,6272.81,2
638,43413,self_employed,medical,185000,13.86,24,8846.52,5
649,42265,salaried,medical,211000,13.53,24,10099.58,5
719,97187,salaried,business,486000,11.43,48,12660.98,5
515,31316,student,education,31000,17.55,48,912.57,2
900,51904,salaried,personal,415000,9.5,60,8720.76,8
700,45396,self_employed,medical,193000,12.0,24,9082.17,5
710,9596,salaried,medical,48000,11.7,12,4256.35,5
601,38158,salaried,medical,191000,14.97,12,17218.08,5
653,43958,salaried,home,220000,13.41,36,7449.19,5
593,33865,salaried,home,68000,15.21,60,1618.8,2
645,22841,salaried,education,114000,13.65,36,3883.9,5
779,48956,salaried,personal,392000,9.63,48,9863.91,8
610,43215,salaried,vehicle,216000,14.7,36,7458.66,5
621,68941,salaried,vehicle,345000,14.37,24,16610.73,5
661,32532,salaried,business,163000,13.17,60,3715.23,5
608,27863,business,medical,125000,14.76,48,3474.36,5
752,21389,salaried,medical,171000,10.44,36,5556.8,8
783,17890,salaried,medical,143000,9.51,24,6572.23,8
662,37800,self_employed,business,161000,13.14,24,7648.2,5
562,46262,business,business,83000,16.14,24,4082.86,2
634,37259,salaried,education,186000,13.98,48,5088.96,5
663,90987,self_employed,medical,387000,13.11,24,18404.25,5
706,23687,self_employed,education,101000,11.82,48,2642.19,5
762,47997,business,business,346000,10.14,48,8788.03,8
644,33685,salaried,home,168000,13.68,36,5730.29,5
682,11311,salaried,personal,57000,12.54,36,1893.08,5
812,147913,salaried,vehicle,1183000,9.5,12,103756.85,8
716,24546,salaried,medical,123000,11.52,12,10877.06,5
670,23931,salaried,vehicle,120000,12.9,24,5683.03,5
618,42130,business,medical,190000,14.46,48,5224.59,5
557,44389,salaried,vehicle,89000,16.29,48,2529.23,2
651,27680,salaried,home,138000,13.47,60,3182.51,5
710,58587,salaried,business,293000,11.7,36,9687.73,5
681,51149,salaried,home,256000,12.57,36,8564.19,5
776,37277,business,business,268000,9.72,60,5665.69,8
752,24637,salaried,personal,197000,10.44,36,6400.69,8
813,22789,salaried,home,182000,9.5,60,3828.93,8
552,22086,student,personal,22000,16.44,48,630.94,2
624,38571,salaried,business,193000,14.28,36,6617.71,5
651,25400,salaried,home,127000,13.47,12,11371.7,5
442,32163,salaried,vehicle,64000,19.74,60,1695.0,2
756,34045,business,home,245000,10.32,60,5246.84,8
667,26207,salaried,business,131000,12.99,48,3514.76,5
755,21143,salaried,medical,169000,10.35,36,5485.81,8
744,50776,salaried,business,254000,10.68,24,11795.27,5
735,44483,self_employed,medical,189000,10.95,24,8807.0,5
535,33937,salaried,education,68000,16.95,48,1956.77,2
730,36076,salaried,home,180000,11.1,60,3930.93,5
660,36455,self_employed,medical,155000,13.2,36,5235.28,5
657,13036,salaried,medical,65000,13.29,24,3107.73,5
718,23686,self_employed,business,101000,11.46,24,4713.41,5
579,48327,salaried,home,97000,15.63,12,8752.69,2
645,21897,self_employed,personal,93000,13.65,12,8340.74,5
788,37751,salaried,home,302000,9.5,48,7587.5,8
755,33465,self_employed,home,228000,10.35,12,20043.68,8
892,40281,salaried,medical,322000,9.5,12,28255.97,8
820,28416,business,education,205000,9.5,48,5140.13,8
569,70864,salaried,vehicle,142000,15.93,36,4977.87,2
622,29899,salaried,business,149000,14.34,36,5134.24,5
661,27853,self_employed,education,118000,13.17,12,10582.54,5
566,23846,salaried,medical,48000,16.02,36,1677.21,2
651,19464,student,personal,49000,13.47,60,1118.96,5
815,17845,salaried,home,143000,9.5,12,12517.97,8
581,16166,salaried,vehicle,32000,15.57,48,909.2,2
705,24673,business,home,111000,11.85,12,9857.25,5
900,80081,self_employed,personal,545000,9.5,60,11436.66,8
751,28541,salaried,business,228000,10.47,12,20124.06,8
636,56302,salaried,education,282000,13.92,24,13505.62,5
547,29372,self_employed,vehicle,50000,16.59,24,2459.0,2
703,40765,self_employed,business,173000,11.91,36,5747.11,5
612,33933,salaried,business,170000,14.64,36,5851.68,5
591,20803,salaried,personal,42000,15.27,60,995.72,2
789,30942,salaried,personal,248000,9.5,60,5198.74,8
544,43996,self_employed,home,75000,16.68,60,1845.96,2
771,41349,salaried,home,331000,9.87,48,8369.24,8
656,22283,business,personal,100000,13.32,60,2298.02,5
402,36993,salaried,medical,74000,20.94,60,1999.12,2
692,49554,business,vehicle,223000,12.24,36,7432.17,5
605,43177,student,personal,108000,14.85,12,9735.13,5
809,53855,salaried,personal,431000,9.5,36,13801.19,8
651,22874,salaried,business,114000,13.47,12,10240.58,5
644,67273,salaried,medical,336000,13.68,24,16099.19,5
638,29789,salaried,medical,149000,13.86,60,3455.0,5
620,55484,self_employed,education,236000,14.4,48,6491.25,5
668,39537,business,education,178000,12.96,48,4769.53,5
765,34183,salaried,medical,273000,10.05,24,12625.31,8
685,50834,self_employed,business,216000,12.45,24,10215.43,5
616,24197,salaried,home,121000,14.52,48,3337.8,5
696,38355,salaried,personal,192000,12.12,24,9038.3,5
675,31042,salaried,home,155000,12.75,60,3511.7,5
636,23535,self_employed,education,100000,13.92,36,3414.8,5
606,45114,self_employed,vehicle,192000,14.82,24,9280.31,5
688,13247,self_employed,business,56000,12.36,60,1262.66,5
742,28122,salaried,home,141000,10.74,12,12410.71,5
838,40882,self_employed,medical,278000,9.5,24,12764.31,8
843,122492,student,education,490000,9.5,36,15695.21,8
779,67086,salaried,home,537000,9.63,12,47091.38,8
593,38255,salaried,personal,77000,15.21,48,2137.51,2
674,76743,business,home,345000,12.78,24,16382.7,5
741,46860,salaried,personal,234000,10.77,60,5067.44,5
637,27646,salaried,medical,138000,13.89,60,3208.51,5
689,42995,salaried,personal,215000,12.33,24,10152.87,5
655,30423,salaried,personal,152000,13.35,24,7257.0,5
869,19333,business,medical,139000,9.5,24,6391.47,8
610,32285,salaried,medical,161000,14.7,60,3815.01,5
712,20975,self_employed,business,89000,11.64,60,1966.83,5
830,19397,salaried,education,155000,9.5,24,7125.1,8
646,16330,salaried,business,82000,13.62,12,7316.76,5
718,50182,salaried,home,251000,11.46,48,6541.18,5
841,36104,salaried,personal,289000,9.5,48,7256.53,8
774,68560,salaried,education,548000,9.78,60,11594.3,8
689,54146,salaried,medical,271000,12.33,24,12786.13,5
723,49949,salaried,personal,250000,11.31,60,5468.79,5
742,36123,salaried,business,181000,10.74,12,15941.43,5
677,50911,salaried,home,255000,12.69,24,12065.18,5
736,28971,salaried,business,145000,10.92,12,12797.56,5
600,16720,salaried,personal,33000,15.0,60,795.56,2
675,60355,self_employed,education,257000,12.75,12,22880.77,5
664,24539,self_employed,medical,104000,13.08,36,3518.05,5
506,47854,salaried,education,96000,17.82,24,4769.83,2
349,67345,salaried,vehicle,135000,22.53,24,7022.87,2
810,45019,salaried,vehicle,360000,9.5,48,9048.33,8
666,43815,self_employed,education,186000,13.02,36,6276.1,5
740,41458,salaried,medical,207000,10.8,60,4486.35,5
877,37935,business,vehicle,273000,9.5,12,23949.31,8
696,20401,salaried,education,102000,12.12,60,2275.3,5
660,25081,salaried,business,125000,13.2,12,11212.98,5
740,35804,business,vehicle,161000,10.8,60,3487.13,5
713,62189,salaried,personal,311000,11.61,60,6855.72,5
674,30378,self_employed,personal,129000,12.78,48,3449.56,5
657,28600,salaried,vehicle,143000,13.29,48,3856.97,5
640,36912,salaried,personal,185000,13.8,48,5024.9,5
551,50297,salaried,personal,101000,16.47,60,2471.48,2
759,47690,self_employed,vehicle,324000,10.23,24,14999.1,8
673,52802,salaried,personal,264000,12.81,48,7057.98,5
576,31736,self_employed,home,54000,15.72,36,1889.34,2
620,44317,salaried,personal,222000,14.4,60,5202.0,5
688,49369,salaried,business,247000,12.36,24,11661.62,5
520,36646,business,home,66000,17.4,12,6028.75,2
862,20377,business,home,147000,9.5,12,12864.97,8
615,28300,salaried,personal,142000,14.55,36,4874.08,5
709,25340,salaried,home,127000,11.73,60,2801.22,5
750,70970,salaried,education,355000,10.5,60,7627.15,5
700,58906,self_employed,education,250000,12.0,60,5568.97,5
751,40499,business,education,292000,10.47,60,6263.28,8
641,38183,salaried,business,191000,13.77,12,17121.17,5
562,39417,salaried,vehicle,79000,16.14,60,1923.0,2
594,33051,salaried,medical,66000,15.18,48,1845.73,2
765,57802,self_employed,vehicle,393000,10.05,36,12692.01,8
710,40572,salaried,education,203000,11.7,24,9520.94,5
656,66624,salaried,business,333000,13.32,36,11275.56,5
740,37833,student,home,95000,10.8,48,2435.4,5
623,33048,self_employed,medical,140000,14.31,48,3860.1,5
759,44023,salaried,education,352000,10.23,12,31000.92,8
550,65539,self_employed,vehicle,111000,16.5,24,5482.0,2
585,36333,self_employed,business,62000,15.45,12,5588.05,2
670,50675,business,vehicle,228000,12.9,24,10830.62,5
623,39011,business,business,176000,14.31,48,4824.6,5
791,44972,business,education,324000,9.5,36,10372.4,8
707,33350,self_employed,home,142000,11.79,36,4693.61,5
862,45380,salaried,medical,363000,9.5,60,7624.63,8
660,33146,salaried,education,166000,13.2,24,7894.81,5
685,28472,salaried,vehicle,142000,12.45,36,4759.06,5
750,34035,salaried,personal,170000,10.5,60,3657.77,5
784,24911,salaried,education,199000,9.5,24,9150.56,8
700,28656,salaried,home,143000,12.0,12,12730.56,5
715,11400,student,business,29000,11.55,36,940.54,5
663,26241,salaried,business,131000,13.11,12,11726.06,5
634,14800,salaried,education,74000,13.98,36,2528.43,5
761,10066,self_employed,business,68000,10.17,12,6023.31,8
594,26732,salaried,vehicle,53000,15.18,36,1858.11,2
749,35201,salaried,vehicle,176000,10.53,36,5723.2,5
710,76142,business,medical,343000,11.7,36,11331.58,5
581,25828,self_employed,medical,44000,15.57,60,1057.77,2
511,28524,salaried,personal,57000,17.67,60,1438.47,2
722,27627,self_employed,education,117000,11.34,48,3054.15,5
799,16238,self_employed,vehicle,110000,9.5,24,5069.82,8
526,51268,salaried,business,103000,17.22,12,9362.53,2
688,28647,student,medical,72000,12.36,48,1898.69,5
662,24742,self_employed,medical,105000,13.14,60,2400.2,5
610,91573,self_employed,education,389000,14.7,36,13434.18,5
637,160201,self_employed,home,681000,13.89,48,18567.88,5
803,42607,self_employed,vehicle,290000,9.5,12,25404.87,8
785,85257,salaried,vehicle,682000,9.5,48,17135.48,8
631,32212,salaried,vehicle,161000,14.07,12,14466.62,5
609,34629,business,home,156000,14.73,48,4315.69,5
853,29826,business,vehicle,215000,9.5,36,6879.07,8
760,28356,self_employed,education,193000,10.2,60,4115.87,8
600,33404,salaried,personal,67000,15.0,36,2315.99,2
682,80072,salaried,medical,400000,12.54,24,18947.58,5
738,14951,salaried,vehicle,75000,10.86,48,1927.04,5
619,96509,salaried,education,483000,14.43,60,11335.93,5
690,26922,salaried,personal,135000,12.3,24,6355.6,5
541,48184,business,business,87000,16.77,24,4278.68,2
729,51707,business,education,233000,11.13,36,7632.07,5
747,42582,self_employed,medical,181000,10.59,36,5889.81,5
635,39495,salaried,education,197000,13.95,12,17726.3,5
609,22159,business,home,100000,14.73,24,4822.27,5
587,38110,salaried,personal,76000,15.39,48,2136.39,2
660,18581,salaried,education,93000,13.2,12,8306.77,5
640,23506,salaried,home,118000,13.8,12,10541.87,5
782,68382,business,personal,492000,9.54,24,22615.28,8
654,42545,self_employed,education,181000,13.38,60,4149.46,5
829,29088,business,home,209000,9.5,12,18363.91,8
727,21545,salaried,medical,108000,11.19,48,2794.16,5
778,34742,salaried,business,278000,9.66,48,7003.98,8
694,19106,self_employed,education,81000,12.18,24,3829.24,5
632,47316,salaried,education,237000,14.04,60,5509.77,5
512,39311,salaried,education,79000,17.64,60,1981.12,2
734,26587,salaried,vehicle,133000,10.98,48,3434.57,5
751,41898,self_employed,vehicle,285000,10.47,48,7290.55,8
717,18279,salaried,business,91000,11.49,60,2009.57,5
582,57496,salaried,education,115000,15.54,60,2768.38,2
856,27069,salaried,medical,217000,9.5,12,18988.74,8
854,69014,salaried,business,552000,9.5,48,13870.87,8
597,31581,salaried,vehicle,63000,15.09,24,3065.24,2
599,41143,salaried,personal,82000,15.03,48,2291.36,2
657,51635,salaried,vehicle,258000,13.29,60,5912.69,5
788,16633,salaried,home,133000,9.5,12,11667.8,8
747,42403,salaried,personal,212000,10.59,60,4566.52,5
793,17252,business,education,124000,9.5,12,10891.87,8
710,54079,student,medical,135000,11.7,48,3540.45,5
578,29046,self_employed,medical,49000,15.66,36,1727.72,2
697,19426,self_employed,education,83000,12.09,36,2745.77,5
614,99230,business,home,447000,14.58,24,21562.2,5
620,31156,salaried,home,156000,14.4,48,4288.37,5
777,66173,salaried,vehicle,529000,9.69,12,46465.02,8
657,50362,self_employed,home,214000,13.29,12,19146.58,5
819,39865,student,home,159000,9.5,36,5107.99,8
657,38114,salaried,vehicle,191000,13.29,60,4364.46,5
781,49579,salaried,personal,397000,9.57,24,18224.15,8
560,55092,salaried,business,110000,16.2,36,3884.67,2
752,72473,salaried,education,580000,10.44,24,26872.21,8
614,37456,salaried,home,187000,14.58,36,6453.68,5
718,88901,salaried,education,445000,11.46,24,20812.53,5
764,19364,self_employed,business,132000,10.08,48,3344.82,8
730,33778,salaried,personal,169000,11.1,48,4373.32,5
777,33912,salaried,home,271000,9.69,60,5722.96,8
725,50037,student,vehicle,125000,11.25,36,4110.26,5
734,42033,business,personal,189000,10.98,36,6190.76,5
585,21431,business,business,39000,15.45,12,3490.03,2
702,39803,salaried,education,199000,11.94,12,17676.85,5
615,30908,salaried,home,155000,14.55,12,13915.75,5
644,34917,self_employed,education,148000,13.68,12,13302.18,5
776,28815,salaried,home,231000,9.72,60,4866.28,8
503,48899,self_employed,medical,83000,17.91,60,2106.89,2
802,41750,salaried,medical,334000,9.5,36,10699.17,8
619,28065,salaried,vehicle,140000,14.43,12,12627.79,5
776,39330,self_employed,vehicle,267000,9.72,36,8594.59,8
720,54322,salaried,home,272000,11.4,36,8943.77,5
776,44006,business,education,317000,9.72,36,10182.08,8
652,50272,salaried,personal,251000,13.44,36,8522.7,5
748,29210,salaried,personal,146000,10.56,60,3143.6,5
821,51802,salaried,vehicle,414000,9.5,12,36337.69,8
599,42174,self_employed,vehicle,72000,15.03,48,1996.47,2
851,32222,salaried,home,258000,9.5,12,22602.96,8
605,73276,salaried,personal,366000,14.85,36,12673.9,5
641,49229,business,vehicle,222000,13.77,60,5128.29,5
600,54409,salaried,medical,109000,15.0,60,2588.81,2
665,19381,salaried,medical,97000,13.05,36,3267.58,5
682,28334,self_employed,vehicle,120000,12.54,24,5699.13,5
761,62079,salaried,vehicle,497000,10.17,12,43701.72,8
621,23136,business,vehicle,104000,14.37,12,9366.08,5
597,91194,business,medical,164000,15.09,60,3912.86,2
874,66732,salaried,vehicle,534000,9.5,48,13412.18,8
670,32650,salaried,vehicle,163000,12.9,36,5492.75,5
622,26465,business,education,119000,14.34,60,2792.14,5
698,37290,business,medical,168000,12.06,48,4423.93,5
704,20373,salaried,business,102000,11.88,12,9045.31,5
705,22510,salaried,personal,113000,11.85,48,2955.63,5
651,39138,salaried,medical,196000,13.47,48,5295.66,5
748,48294,student,medical,121000,10.56,12,10646.13,5
558,49844,salaried,business,100000,16.26,12,9057.21,2
613,22459,self_employed,education,95000,14.61,36,3290.71,5
668,35179,salaried,home,176000,12.96,48,4715.37,5
572,38789,self_employed,business,66000,15.84,60,1597.99,2
860,34185,business,vehicle,246000,9.5,24,11301.24,8
557,43280,salaried,home,87000,16.29,60,2118.33,2
662,36710,self_employed,education,156000,13.14,36,5267.47,5
616,19767,salaried,medical,99000,14.52,36,3402.98,5
666,55209,salaried,vehicle,276000,13.02,24,13126.31,5
740,40019,salaried,medical,200000,10.8,36,6532.04,5
742,41873,business,business,188000,10.74,24,8759.56,5
649,82122,business,vehicle,370000,13.53,48,10011.66,5
775,53685,student,personal,215000,9.75,36,6903.88,8
717,35854,self_employed,education,152000,11.49,60,3350.5,5
766,61203,self_employed,personal,416000,10.02,12,36593.16,8
669,130149,self_employed,personal,553000,12.93,36,18618.61,5
693,40364,salaried,medical,202000,12.21,24,9520.38,5
665,25080,salaried,vehicle,125000,13.05,36,4228.29,5
763,57280,salaried,education,458000,10.11,12,40310.63,8
558,24246,salaried,home,48000,16.26,24,2380.41,2
696,22535,self_employed,vehicle,96000,12.12,36,3186.63,5
527,52677,salaried,home,105000,17.19,48,3050.38,2
758,48304,salaried,medical,386000,10.26,48,9849.33,8
619,47779,salaried,medical,239000,14.43,12,21498.49,5
713,21324,salaried,personal,107000,11.61,48,2787.39,5
663,17387,self_employed,medical,74000,13.11,12,6603.91,5
645,23577,self_employed,home,100000,13.65,24,4794.45,5
676,37905,salaried,business,190000,12.72,12,16903.12,5
713,30750,salaried,business,154000,11.61,36,5078.16,5
562,23352,salaried,personal,47000,16.14,60,1139.27,2
691,33020,salaried,education,165000,12.27,36,5505.06,5
755,23506,self_employed,vehicle,160000,10.35,48,4080.97,8
841,35118,self_employed,education,239000,9.5,60,5015.35,8
557,28748,salaried,home,57000,16.29,12,5224.64,2
687,39533,salaried,personal,198000,12.39,60,4436.05,5
621,45598,salaried,education,228000,14.37,60,5348.88,5
695,30910,salaried,personal,155000,12.15,24,7286.14,5
682,43585,business,personal,196000,12.54,60,4416.58,5
780,63956,business,personal,460000,9.6,36,14772.38,8
755,76823,business,education,553000,10.35,36,17938.89,8
712,11850,business,education,53000,11.64,60,1176.55,5
781,20907,salaried,home,167000,9.57,12,14671.18,8
618,46476,salaried,personal,232000,14.46,24,11207.91,5
